Car Model,Gear_type,Driven_km,Fuel type,Reg_place,Price,Car Location,City,Car_brand,Model_year,Ownership_count,EMI Rs
VXI OPT,Manual,20229,Petrol,KA-04,349000,"Bellahalli, Bengaluru",Bangalore,Maruti,2017,2,6823
VXI,Manual,70067,Petrol,KA-13,368000,"Bellahalli, Bengaluru",Bangalore,Maruti,2015,2,7194
VXI P,Manual,60867,Petrol,KA-05,314000,"Bellahalli, Bengaluru",Bangalore,Maruti,2014,1,6139
ALPHA DIESEL 1.3,Manual,84473,Diesel,KA-20,539000,"Bellahalli, Bengaluru",Bangalore,Maruti,2015,3,10538
S5,Manual,29793,Diesel,KA-03,1428000,"Bellahalli, Bengaluru",Bangalore,Mahindra,2021,1,27181
SX PLUS 1.6 PETROL,Manual,51166,Petrol,KA-05,801000,"Bellahalli, Bengaluru",Bangalore,Hyundai,2015,2,15246
W4 1.2 PETROL,Manual,13631,Petrol,KA-18,777000,"Garuda Mall, Magrath Road, Bengaluru",Bangalore,Mahindra,2020,1,15190
W6,Manual,54990,Diesel,KA-03,973000,"Garuda Mall, Magrath Road, Bengaluru",Bangalore,Mahindra,2015,1,18520
W7,Manual,147557,Diesel,KA-09,1140000,"Bellahalli, Bengaluru",Bangalore,Mahindra,2019,1,21699
SPORTZ 1.2,Manual,43529,Petrol,KA-51,270000,"Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore,Hyundai,2010,2,5279
W10 AT,Automatic,82825,Diesel,KA-03,1083000,"Garuda Mall, Magrath Road, Bengaluru",Bangalore,Mahindra,2016,2,20614
S 1.2,Manual,21742,Petrol,KA-05,715000,"Hosur Road, Singasandra, Bengaluru",Bangalore,Hyundai,2020,1,13978
N8 1.0 TURBO GDI IMT,Manual,19902,Petrol,KA-01,1177000,"Horamavu Agara Road, Bengaluru",Bangalore,Hyundai,2022,2,22403
XZA PLUS PETROL DUAL TONE,Automatic,19549,Petrol,KA-53,1107000,"Garuda Mall, Magrath Road, Bengaluru",Bangalore,Tata,2020,1,21071
TRENDLINE 1.0L,Manual,43266,Petrol,KA-03,568000,"Sonnappanahalli
",Bangalore,Volkswagen,2019,2,11105
LXI,Manual,57664,Petrol,KA-02,223000,"Bellahalli, Bengaluru",Bangalore,Maruti,2010,1,4360
SPORTZ 1.2 AT,Automatic,38408,Petrol,KA-53,387000,"GT World Mall, Bengaluru",Bangalore,Hyundai,2012,2,7566
VXI,Manual,63411,Petrol,KA-41,584000,"Bellahalli, Bengaluru",Bangalore,Maruti,2016,1,11417
SX (O) 1.5 VTVT IVT,Automatic,8775,Petrol,KA-04,1433000,"Bellahalli, Bengaluru",Bangalore,Hyundai,2021,2,27276
RXT 0.8,Manual,53145,Petrol,KA-02,305000,"Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore,Renault,2016,2,5963
1.6 VTVT SX (O) AT,Automatic,39968,Petrol,KA-05,997000,"Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore,Hyundai,2018,2,18977
VXI,Manual,16522,Petrol,KA-52,774000,"Hosur Road, Singasandra, Bengaluru",Bangalore,Maruti,2022,1,15132
VDI (O),Manual,64337,Diesel,KA-50,654000,"Bellahalli, Bengaluru",Bangalore,Maruti,2016,3,12786
XZ PLUS PETROL,Manual,13789,Petrol,KA-13,686000,"Hosur Road, Singasandra, Bengaluru",Bangalore,Tata,2020,1,13411
1.4 E PETROL,Manual,11375,Petrol,KA-04,806000,"Bellahalli, Bengaluru",Bangalore,Hyundai,2018,1,15341
LXI,Manual,73938,Petrol,KA-04,221000,"Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore,Maruti,2012,1,4321
VXI,Manual,39070,Petrol,KA-03,666000,"Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore,Maruti,2017,1,13020
ZXI AT,Automatic,53226,Petrol,KA-53,679000,"Sonnappanahalli
",Bangalore,Maruti,2017,1,13275
ZXI PLUS AMT,Automatic,8506,Petrol,KA-09,662000,"Hosur Road, Singasandra, Bengaluru",Bangalore,Maruti,2018,2,12942
XL PETROL,Manual,34282,Petrol,KA-01,229000,"Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore,Nissan,2010,1,4477
VXI,Manual,8857,Petrol,KA-19,719000,"GT World Mall, Bengaluru",Bangalore,Maruti,2022,2,14057
VXI,Manual,62538,Petrol,KA-03,806000,"GT World Mall, Bengaluru",Bangalore,Maruti,2017,1,15341
TITANIUM 1.5L PETROL AT,Automatic,41134,Petrol,KA-03,727000,"Sonnappanahalli
",Bangalore,Ford,2017,1,14213
SPORTZ 1.2 KAPPA VTVT,Manual,9414,Petrol,KA-01,670000,"GT World Mall, Bengaluru",Bangalore,Hyundai,2020,1,13099
T(O),Manual,24895,Petrol,KA-05,496000,"Bellahalli, Bengaluru",Bangalore,Datsun,2019,1,9697
VXI,Manual,65484,Petrol,KA-50,318000,"Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore,Maruti,2016,3,6217
ZXI D,Manual,41594,Petrol,KA-05,501000,"Bellahalli, Bengaluru",Bangalore,Maruti,2018,1,9795
SX 1.2,Manual,25887,Petrol,KA-63,688000,"Sonnappanahalli
",Bangalore,Hyundai,2019,1,13451
RXL MT,Manual,32937,Petrol,KA-19,587000,"Hosur Road, Singasandra, Bengaluru",Bangalore,Renault,2020,2,11476
V MT,Manual,97335,Petrol,KA-22,292000,"Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore,Honda,2012,2,5709
ASTA 1.2 KAPPA VTVT,Manual,70381,Petrol,KA-50,565000,"Sonnappanahalli
",Bangalore,Hyundai,2017,1,11046
SPORTZ 1.2,Manual,104885,Petrol,KA-05,565000,"Horamavu Agara Road, Bengaluru",Bangalore,Hyundai,2016,1,11046
VXI AMT (O),Automatic,112268,Petrol,KA-41,347000,"Sonnappanahalli
",Bangalore,Maruti,2015,3,6784
SPORTZ 1.2,Manual,91716,Petrol,KA-53,366000,"Bellahalli, Bengaluru",Bangalore,Hyundai,2013,3,7155
VXI AMT,Automatic,54137,Petrol,KA-05,618000,"Bellahalli, Bengaluru",Bangalore,Maruti,2018,1,12082
ASTA 1.2,Manual,73969,Petrol,KA-53,686000,"Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore,Hyundai,2016,1,13411
1.2L I-VTEC SV,Manual,56814,Petrol,KA-03,538000,"Horamavu Agara Road, Bengaluru",Bangalore,Honda,2016,1,10518
LXI,Manual,52425,Petrol,KA-41,315000,"Sonnappanahalli
",Bangalore,Maruti,2015,1,6158
T8,Manual,84575,Diesel,KA-05,729000,"Bellahalli, Bengaluru",Bangalore,Mahindra,2016,1,14252
VX AT,Automatic,42509,Petrol,KA-05,524000,"Hosur Road, Singasandra, Bengaluru",Bangalore,Honda,2017,2,10244
ASTA 1.4 CRDI,Manual,72131,Diesel,KA-04,705000,"Horamavu Agara Road, Bengaluru",Bangalore,Hyundai,2018,1,13783
RXZ AMT,Automatic,7922,Petrol,KA-03,741000,"Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore,Renault,2020,1,14487
SPORTZ 1.2 KAPPA VTVT,Manual,4032,Petrol,KA-01,515000,"GT World Mall, Bengaluru",Bangalore,Hyundai,2015,2,10068
VDI,Manual,113498,Diesel,KA-19,419000,"Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore,Maruti,2013,1,8192
ZETA PETROL 1.2,Manual,60624,Petrol,KA-06,675000,"Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore,Maruti,2017,2,13196
XZ+ 1.5,Manual,67271,Diesel,KA-05,826000,"Garuda Mall, Magrath Road, Bengaluru",Bangalore,Tata,2019,1,15722
SPORTZ 1.2 KAPPA VTVT,Manual,40546,Petrol,KA-53,446000,"Bellahalli, Bengaluru",Bangalore,Hyundai,2014,1,8719
HTX 1.5 PETROL,Manual,7265,Petrol,KA-04,1432000,"Garuda Mall, Magrath Road, Bengaluru",Bangalore,KIA,2021,1,27257
ALPHA DIESEL 1.5,Manual,122864,Diesel,KA-02,763000,"Bellahalli, Bengaluru",Bangalore,Maruti,2019,2,14917
ZXI,Manual,43946,Petrol,KA-51,674000,"GT World Mall, Bengaluru",Bangalore,Maruti,2016,1,13177
S7,Manual,35182,Diesel,KA-34,1626000,"Garuda Mall, Magrath Road, Bengaluru",Bangalore,Mahindra,2022,1,30949
